IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP6;IP_PROP7;IC_GROUP0;IC_GROUP1;IC_GROUP2
;Подключение трубок (трубка своя);;Y;26.12.23;;;;text;;;text;;500;;1 200 руб.;;СКУД;;
;Подключение трубок (трубка наша) ;;Y;26.12.23;;;;text;;;text;;500;;1200 руб. + стоимость трубки;;СКУД;;
;Замена трубки (трубка своя);;Y;26.12.23;;;;text;;;text;;500;;1 200 руб.;;СКУД;;
;Замена трубки (трубка наша) ;;Y;26.12.23;;;;text;;;text;;500;;1200 руб. + стоимость трубки;;СКУД;;
;Вызов на объект (диагностика);;Y;26.12.23;;;;text;;;text;;500;;700 руб.;;СКУД;;
;Программирование и монтаж трубки (Баден TANTOS);;Y;26.12.23;;;;text;;;text;;500;;2 000 руб.;;СКУД;;
;Монтаж ВД (МСК) (углубление в стене);;Y;26.12.23;;;;text;;;text;;500;;2 000 руб.;;СКУД;;
;Монтаж ВД(TANTOS) (углубление в стене);;Y;26.12.23;;;;text;;;text;;500;;2 000 руб.;;СКУД;;
;Замена карты;;Y;26.12.23;;;;text;;;text;;500;;200 руб.;;СКУД;;
;Изготовление чипа;;Y;26.12.23;;;;text;;;text;;500;;200 руб.;;СКУД;;
;Выезд специалиста для программирования чипа;;Y;26.12.23;;;;text;;;text;;500;;500 руб.;;СКУД;;
;Монтаж панели видеодомофона;;Y;26.12.23;;;;text;;;text;;500;;1 500 руб.;;СКУД;;
;Пульт от въездных ворот ;;Y;26.12.23;;;;text;;;text;;500;;2 250 руб.;;СКУД;;
;Монтаж ВД с вызывной с панелью у двери;;Y;26.12.23;;;;text;;;text;;500;;2 000-3 000 руб.;;СКУД;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;